text,label
పంట లేక చనిపోతున్నాము,CRITICAL
పంట 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర పంట సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency పంట needed urgently please help,CRITICAL
పంట 3 నెలలుగా రాలేదు,HIGH
పంట ఆపేసారు కారణం తెలియదు,HIGH
నా పంట తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
పంట stopped for months please help,HIGH
పంట ఆలస్యం అవుతుంది,MEDIUM
పంట సమస్య పరిష్కరించండి,MEDIUM
నా పంట ఇంకా రాలేదు,MEDIUM
పంట delay problem please solve,MEDIUM
పంట కోసం దరఖాస్తు చేసాను,NORMAL
పంట సమాచారం కావాలి,NORMAL
నా పంట status తెలియజేయండి,NORMAL
requesting పంట information,NORMAL
బీమా లేక చనిపోతున్నాము,CRITICAL
బీమా 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర బీమా సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency బీమా needed urgently please help,CRITICAL
బీమా 3 నెలలుగా రాలేదు,HIGH
బీమా ఆపేసారు కారణం తెలియదు,HIGH
నా బీమా తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
బీమా stopped for months please help,HIGH
బీమా ఆలస్యం అవుతుంది,MEDIUM
బీమా సమస్య పరిష్కరించండి,MEDIUM
నా బీమా ఇంకా రాలేదు,MEDIUM
బీమా delay problem please solve,MEDIUM
బీమా కోసం దరఖాస్తు చేసాను,NORMAL
బీమా సమాచారం కావాలి,NORMAL
నా బీమా status తెలియజేయండి,NORMAL
requesting బీమా information,NORMAL
క్లెయిమ్ లేక చనిపోతున్నాము,CRITICAL
క్లెయిమ్ 6 నెలలుగా రాలేదు ఆకలితో ఉన్నాము,CRITICAL
అత్యవసర క్లెయిమ్ సహాయం కావాలి లేకపోతే ప్రాణాలు పోతాయి,CRITICAL
emergency క్లెయిమ్ needed urgently please help,CRITICAL
క్లెయిమ్ 3 నెలలుగా రాలేదు,HIGH
క్లెయిమ్ ఆపేసారు కారణం తెలియదు,HIGH
నా క్లెయిమ్ తిరస్కరించారు ఎక్కడికి వెళ్ళాలి తెలియదు,HIGH
