text,label
పంట,Agriculture
బీమా,Agriculture
క్లెయిమ్,Agriculture
పరిహారం,Agriculture
నష్టం,Agriculture
ప్రీమియం,Agriculture
దిగుబడి,Agriculture
వ్యవసాయం,Agriculture
crop,Agriculture
insurance,Agriculture
claim,Agriculture
compensation,Agriculture
damage,Agriculture
loss,Agriculture
premium,Agriculture
yield,Agriculture
agriculture,Agriculture
ఎరువులు,Agriculture
సబ్సిడీ,Agriculture
పంపిణీ,Agriculture
కొరత,Agriculture
లభ్యత,Agriculture
యూరియా,Agriculture
fertilizer,Agriculture
subsidy,Agriculture
distribution,Agriculture
shortage,Agriculture
availability,Agriculture
urea,Agriculture
dap,Agriculture
రుణం,Agriculture
క్రెడిట్,Agriculture
కిసాన్,Agriculture
వడ్డీ,Agriculture
మాఫీ,Agriculture
అప్పు,Agriculture
రైతు,Agriculture
loan,Agriculture
credit,Agriculture
kisan,Agriculture
interest,Agriculture
waiver,Agriculture
debt,Agriculture
repayment,Agriculture
farmer,Agriculture
పశువైద్యం,Animal Husbandry
జంతువు,Animal Husbandry
ఆరోగ్యం,Animal Husbandry
డాక్టర్,Animal Husbandry
క్లినిక్,Animal Husbandry
టీకా,Animal Husbandry
చికిత్స,Animal Husbandry
పశువులు,Animal Husbandry
veterinary,Animal Husbandry
animal,Animal Husbandry
health,Animal Husbandry
doctor,Animal Husbandry
clinic,Animal Husbandry
vaccination,Animal Husbandry
treatment,Animal Husbandry
livestock,Animal Husbandry
డైరీ,Animal Husbandry
పాలు,Animal Husbandry
సహకార,Animal Husbandry
సేకరణ,Animal Husbandry
ధర,Animal Husbandry
సబ్సిడీ,Animal Husbandry
పశువులు,Animal Husbandry
dairy,Animal Husbandry
milk,Animal Husbandry
cooperative,Animal Husbandry
collection,Animal Husbandry
price,Animal Husbandry
subsidy,Animal Husbandry
cattle,Animal Husbandry
చేప,Animal Husbandry
చేపలు పట్టడం,Animal Husbandry
చెరువు,Animal Husbandry
సబ్సిడీ,Animal Husbandry
లైసెన్సు,Animal Husbandry
మత్స్య పెంపకం,Animal Husbandry
జాలర,Animal Husbandry
fish,Animal Husbandry
fishing,Animal Husbandry
pond,Animal Husbandry
subsidy,Animal Husbandry
license,Animal Husbandry
aquaculture,Animal Husbandry
fisherman,Animal Husbandry
రేషన్,Civil Supplies
కార్డు,Civil Supplies
బియ్యం,Civil Supplies
పిడిఎస్,Civil Supplies
సబ్సిడీ,Civil Supplies
ఆహారం,Civil Supplies
ధాన్యం,Civil Supplies
కోటా,Civil Supplies
ఆధార్,Civil Supplies
లింకింగ్,Civil Supplies
ration,Civil Supplies
card,Civil Supplies
rice,Civil Supplies
pds,Civil Supplies
subsidy,Civil Supplies
food,Civil Supplies
grain,Civil Supplies
quota,Civil Supplies
aadhar,Civil Supplies
linking,Civil Supplies
దుకాణం,Civil Supplies
డీలర్,Civil Supplies
ధర,Civil Supplies
నాణ్యత,Civil Supplies
కొరత,Civil Supplies
న్యాయ వెల,Civil Supplies
ఫిర్యాదు,Civil Supplies
సరఫరా,Civil Supplies
shop,Civil Supplies
dealer,Civil Supplies
price,Civil Supplies
quality,Civil Supplies
shortage,Civil Supplies
fair,Civil Supplies
complaint,Civil Supplies
supplies,Civil Supplies
విద్యుత్,Energy
పవర్,Energy
కనెక్షన్,Energy
మీటర్,Energy
బిల్లు,Energy
సరఫరా,Energy
వోల్టేజ్,Energy
ట్రాన్స్‌ఫార్మర్,Energy
అంతరాయం,Energy
electricity,Energy
power,Energy
connection,Energy
meter,Energy
bill,Energy
supply,Energy
voltage,Energy
transformer,Energy
outage,Energy
సౌర,Energy
ప్యానెల్,Energy
సబ్సిడీ,Energy
స్థాపన,Energy
పునరుత్పాదక,Energy
శక్తి,Energy
solar,Energy
panel,Energy
subsidy,Energy
installation,Energy
renewable,Energy
energy,Energy
ఆసుపత్రి,Health
