id,department_code,department_name,district_code,district_name,grievance_category,days_to_resolve,officer_response_count,escalation_level,lapse_type,lapse_type_id,confidence
1,AGRI,Agriculture And Co-operation,GNT,Guntur,fertilizer_issue,14,3,RDO,GRA did not speak to citizen directly,1,0.94
2,REVENUE,Revenue (CCLA),VZG,Vizianagaram,land_mutation,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.87
3,MUNI,Municipal Administration And Urban Development,TPT,Tirupati,water_supply,16,2,Tahsildar,Wrong/Blank/Not related comments,3,0.87
4,HOUSING,Housing,NLR,Nellore,house_site,24,5,RDO,GRA did not speak to citizen directly,1,0.88
5,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,encroachment,14,2,Collector,GRA did not speak to citizen directly,1,0.91
6,PNCHRAJ,Panchayat Raj And Rural Development,VSP,Visakhapatnam,community_hall,27,2,Mandal,Wrong/Blank/Not related comments,3,0.89
7,SOC_WELF,Social Welfare,PKM,Prakasam,pension_delay,13,1,Tahsildar,GRA did not speak to citizen directly,1,0.86
8,AGRI,Agriculture And Co-operation,BAP,Bapatla,subsidy_delay,1,1,Mandal,GRA did not speak to citizen directly,1,0.92
9,REVENUE,Revenue (CCLA),NLR,Nellore,land_mutation,18,3,RDO,GRA did not speak to citizen directly,1,0.87
10,SOC_WELF,Social Welfare,KNR,Konaseema,scholarship_issue,20,4,Collector,GRA did not speak to citizen directly,1,0.91
11,HEALTH,"Health, Medical And Family Welfare",SKM,Srikakulam,doctor_absence,21,2,Mandal,GRA did not speak to citizen directly,1,0.93
12,WATER,Water Resources,WG,West Godavari,water_shortage,9,1,Mandal,Inadequate action taken,8,0.91
13,SOC_WELF,Social Welfare,KRS,Krishna,welfare_scheme,24,4,RDO,Premature closure,6,0.93
14,PNCHRAJ,Panchayat Raj And Rural Development,NLR,Nellore,village_roads,12,1,RDO,GRA did not speak to citizen directly,1,0.94
15,REVENUE,Revenue (CCLA),ANM,Annamaya,property_dispute,66,20,HOD,Not visited site / No field verification,2,0.91
16,REVENUE,Revenue (CCLA),STY,Sri Satya Sai,property_dispute,49,8,HOD,Not visited site / No field verification,2,0.85
17,RNB,"Transport, Roads And Buildings",TPT,Tirupati,highway_maintenance,12,1,GRA,GRA did not speak to citizen directly,1,0.86
18,SOC_WELF,Social Welfare,ANT,Anantapur,welfare_scheme,18,2,Tahsildar,Closed without required documents,4,0.9
19,MUNI,Municipal Administration And Urban Development,CHT,Chittoor,road_repair,7,1,Mandal,Wrong/Blank/Not related comments,3,0.95
20,AGRI,Agriculture And Co-operation,ARL,Alluri Sitharama Raju,crop_insurance,12,1,GRA,Wrong/Blank/Not related comments,3,0.91
21,REVENUE,Revenue (CCLA),EG,East Godavari,land_mutation,8,1,Mandal,GRA did not speak to citizen directly,1,0.86
22,REVENUE,Revenue (CCLA),PLN,Palnadu,land_records,24,6,RDO,GRA did not speak to citizen directly,1,0.87
23,SOC_WELF,Social Welfare,VZG,Vizianagaram,pension_delay,7,1,RDO,GRA did not speak to citizen directly,1,0.86
24,AGRI,Agriculture And Co-operation,KNR,Konaseema,crop_compensation,10,1,GRA,GRA did not speak to citizen directly,1,0.87
25,REVENUE,Revenue (CCLA),ARL,Alluri Sitharama Raju,property_dispute,10,1,Mandal,GRA did not speak to citizen directly,1,0.93
26,WATER,Water Resources,KDP,Kadapa,irrigation_canal,10,1,GRA,Wrong/Blank/Not related comments,3,0.94
27,WATER,Water Resources,NTR,NTR District,tank_maintenance,13,1,GRA,Wrong/Blank/Not related comments,3,0.87
28,REVENUE,Revenue (CCLA),SKM,Srikakulam,revenue_certificate,48,9,HOD,Inordinate delay,9,0.95
29,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,street_lights,5,1,Mandal,GRA did not speak to citizen directly,1,0.92
30,REVENUE,Revenue (CCLA),NLR,Nellore,land_mutation,1,1,GRA,GRA did not speak to citizen directly,1,0.95
31,REVENUE,Revenue (CCLA),NTR,NTR District,land_mutation,38,8,HOD,Not visited site / No field verification,2,0.91
32,REVENUE,Revenue (CCLA),ANT,Anantapur,land_records,5,1,RDO,Wrong/Blank/Not related comments,3,0.87
33,SOC_WELF,Social Welfare,PLN,Palnadu,disability_certificate,28,4,Collector,GRA did not speak to citizen directly,1,0.86
34,REVENUE,Revenue (CCLA),KRS,Krishna,property_dispute,75,10,Collector,Inordinate delay,9,0.89
35,MUNI,Municipal Administration And Urban Development,KNL,Kurnool,road_repair,15,1,Collector,Poor quality of work,12,0.93
36,REVENUE,Revenue (CCLA),PLN,Palnadu,land_mutation,51,15,HOD,Inordinate delay,9,0.88
37,MUNI,Municipal Administration And Urban Development,PVT,Parvathipuram Manyam,garbage_collection,7,1,Mandal,GRA did not speak to citizen directly,1,0.88
